group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Evm,call_hello_on_dumped_state,,1,elements,1119729.0,ns,37
Evm,call_hello_on_dumped_state,,1,elements,2514880.0,ns,74
Evm,call_hello_on_dumped_state,,1,elements,3792759.0,ns,111
Evm,call_hello_on_dumped_state,,1,elements,5788182.0,ns,148
Evm,call_hello_on_dumped_state,,1,elements,6240090.0,ns,185
Evm,call_hello_on_dumped_state,,1,elements,7482870.0,ns,222
Evm,call_hello_on_dumped_state,,1,elements,8747375.0,ns,259
Evm,call_hello_on_dumped_state,,1,elements,9963897.0,ns,296
Evm,call_hello_on_dumped_state,,1,elements,11287750.0,ns,333
Evm,call_hello_on_dumped_state,,1,elements,12515397.0,ns,370
Evm,call_hello_on_dumped_state,,1,elements,13696416.0,ns,407
Evm,call_hello_on_dumped_state,,1,elements,15174306.0,ns,444
Evm,call_hello_on_dumped_state,,1,elements,16328550.0,ns,481
Evm,call_hello_on_dumped_state,,1,elements,17650634.0,ns,518
Evm,call_hello_on_dumped_state,,1,elements,18826134.0,ns,555
Evm,call_hello_on_dumped_state,,1,elements,20033710.0,ns,592
Evm,call_hello_on_dumped_state,,1,elements,21342870.0,ns,629
Evm,call_hello_on_dumped_state,,1,elements,22257970.0,ns,666
Evm,call_hello_on_dumped_state,,1,elements,22485456.0,ns,703
Evm,call_hello_on_dumped_state,,1,elements,25102940.0,ns,740
Evm,call_hello_on_dumped_state,,1,elements,26248389.0,ns,777
Evm,call_hello_on_dumped_state,,1,elements,27442619.0,ns,814
Evm,call_hello_on_dumped_state,,1,elements,28976364.0,ns,851
Evm,call_hello_on_dumped_state,,1,elements,29871036.0,ns,888
Evm,call_hello_on_dumped_state,,1,elements,31482667.0,ns,925
Evm,call_hello_on_dumped_state,,1,elements,32318591.0,ns,962
Evm,call_hello_on_dumped_state,,1,elements,33118610.0,ns,999
Evm,call_hello_on_dumped_state,,1,elements,32464281.0,ns,1036
Evm,call_hello_on_dumped_state,,1,elements,33008787.0,ns,1073
Evm,call_hello_on_dumped_state,,1,elements,33759254.0,ns,1110
Evm,call_hello_on_dumped_state,,1,elements,34825366.0,ns,1147
Evm,call_hello_on_dumped_state,,1,elements,35784443.0,ns,1184
Evm,call_hello_on_dumped_state,,1,elements,35585185.0,ns,1221
Evm,call_hello_on_dumped_state,,1,elements,35751410.0,ns,1258
Evm,call_hello_on_dumped_state,,1,elements,37406557.0,ns,1295
Evm,call_hello_on_dumped_state,,1,elements,38774299.0,ns,1332
Evm,call_hello_on_dumped_state,,1,elements,39290295.0,ns,1369
Evm,call_hello_on_dumped_state,,1,elements,38871586.0,ns,1406
Evm,call_hello_on_dumped_state,,1,elements,41032122.0,ns,1443
Evm,call_hello_on_dumped_state,,1,elements,43008647.0,ns,1480
Evm,call_hello_on_dumped_state,,1,elements,42788332.0,ns,1517
Evm,call_hello_on_dumped_state,,1,elements,44566948.0,ns,1554
Evm,call_hello_on_dumped_state,,1,elements,44378525.0,ns,1591
Evm,call_hello_on_dumped_state,,1,elements,45412782.0,ns,1628
Evm,call_hello_on_dumped_state,,1,elements,45964848.0,ns,1665
Evm,call_hello_on_dumped_state,,1,elements,47103165.0,ns,1702
Evm,call_hello_on_dumped_state,,1,elements,47996654.0,ns,1739
Evm,call_hello_on_dumped_state,,1,elements,49238838.0,ns,1776
Evm,call_hello_on_dumped_state,,1,elements,49832640.0,ns,1813
Evm,call_hello_on_dumped_state,,1,elements,50975384.0,ns,1850
Evm,call_hello_on_dumped_state,,1,elements,51086067.0,ns,1887
Evm,call_hello_on_dumped_state,,1,elements,52674865.0,ns,1924
Evm,call_hello_on_dumped_state,,1,elements,53649534.0,ns,1961
Evm,call_hello_on_dumped_state,,1,elements,54888026.0,ns,1998
Evm,call_hello_on_dumped_state,,1,elements,55775631.0,ns,2035
Evm,call_hello_on_dumped_state,,1,elements,56634736.0,ns,2072
Evm,call_hello_on_dumped_state,,1,elements,57983600.0,ns,2109
Evm,call_hello_on_dumped_state,,1,elements,58601325.0,ns,2146
Evm,call_hello_on_dumped_state,,1,elements,59504041.0,ns,2183
Evm,call_hello_on_dumped_state,,1,elements,60838896.0,ns,2220
Evm,call_hello_on_dumped_state,,1,elements,61678774.0,ns,2257
Evm,call_hello_on_dumped_state,,1,elements,62139000.0,ns,2294
Evm,call_hello_on_dumped_state,,1,elements,63953181.0,ns,2331
Evm,call_hello_on_dumped_state,,1,elements,64434280.0,ns,2368
Evm,call_hello_on_dumped_state,,1,elements,65747247.0,ns,2405
Evm,call_hello_on_dumped_state,,1,elements,66476381.0,ns,2442
Evm,call_hello_on_dumped_state,,1,elements,67014931.0,ns,2479
Evm,call_hello_on_dumped_state,,1,elements,69223715.0,ns,2516
Evm,call_hello_on_dumped_state,,1,elements,69474850.0,ns,2553
Evm,call_hello_on_dumped_state,,1,elements,69761697.0,ns,2590
Evm,call_hello_on_dumped_state,,1,elements,72228138.0,ns,2627
Evm,call_hello_on_dumped_state,,1,elements,72078893.0,ns,2664
Evm,call_hello_on_dumped_state,,1,elements,76490644.0,ns,2701
Evm,call_hello_on_dumped_state,,1,elements,97184714.0,ns,2738
Evm,call_hello_on_dumped_state,,1,elements,81258303.0,ns,2775
Evm,call_hello_on_dumped_state,,1,elements,79518884.0,ns,2812
Evm,call_hello_on_dumped_state,,1,elements,77609103.0,ns,2849
Evm,call_hello_on_dumped_state,,1,elements,77989048.0,ns,2886
Evm,call_hello_on_dumped_state,,1,elements,79438240.0,ns,2923
Evm,call_hello_on_dumped_state,,1,elements,80381837.0,ns,2960
Evm,call_hello_on_dumped_state,,1,elements,81018940.0,ns,2997
Evm,call_hello_on_dumped_state,,1,elements,82437360.0,ns,3034
Evm,call_hello_on_dumped_state,,1,elements,82214192.0,ns,3071
Evm,call_hello_on_dumped_state,,1,elements,83900777.0,ns,3108
Evm,call_hello_on_dumped_state,,1,elements,91066750.0,ns,3145
Evm,call_hello_on_dumped_state,,1,elements,85417230.0,ns,3182
Evm,call_hello_on_dumped_state,,1,elements,86406462.0,ns,3219
Evm,call_hello_on_dumped_state,,1,elements,86750081.0,ns,3256
Evm,call_hello_on_dumped_state,,1,elements,88754254.0,ns,3293
Evm,call_hello_on_dumped_state,,1,elements,89725248.0,ns,3330
Evm,call_hello_on_dumped_state,,1,elements,91091917.0,ns,3367
Evm,call_hello_on_dumped_state,,1,elements,91434061.0,ns,3404
Evm,call_hello_on_dumped_state,,1,elements,92478073.0,ns,3441
Evm,call_hello_on_dumped_state,,1,elements,94150276.0,ns,3478
Evm,call_hello_on_dumped_state,,1,elements,94786328.0,ns,3515
Evm,call_hello_on_dumped_state,,1,elements,101790194.0,ns,3552
Evm,call_hello_on_dumped_state,,1,elements,99257747.0,ns,3589
Evm,call_hello_on_dumped_state,,1,elements,96834959.0,ns,3626
Evm,call_hello_on_dumped_state,,1,elements,98628070.0,ns,3663
Evm,call_hello_on_dumped_state,,1,elements,101270633.0,ns,3700
