group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Evm,call_hello_with_executor_recreate,,1,elements,976390.0,ns,36
Evm,call_hello_with_executor_recreate,,1,elements,2220459.0,ns,72
Evm,call_hello_with_executor_recreate,,1,elements,3702393.0,ns,108
Evm,call_hello_with_executor_recreate,,1,elements,4903027.0,ns,144
Evm,call_hello_with_executor_recreate,,1,elements,6165407.0,ns,180
Evm,call_hello_with_executor_recreate,,1,elements,7334162.0,ns,216
Evm,call_hello_with_executor_recreate,,1,elements,8533873.0,ns,252
Evm,call_hello_with_executor_recreate,,1,elements,9794753.0,ns,288
Evm,call_hello_with_executor_recreate,,1,elements,11055919.0,ns,324
Evm,call_hello_with_executor_recreate,,1,elements,12206263.0,ns,360
Evm,call_hello_with_executor_recreate,,1,elements,13463139.0,ns,396
Evm,call_hello_with_executor_recreate,,1,elements,14580384.0,ns,432
Evm,call_hello_with_executor_recreate,,1,elements,15927169.0,ns,468
Evm,call_hello_with_executor_recreate,,1,elements,17051120.0,ns,504
Evm,call_hello_with_executor_recreate,,1,elements,18420618.0,ns,540
Evm,call_hello_with_executor_recreate,,1,elements,19418367.0,ns,576
Evm,call_hello_with_executor_recreate,,1,elements,20731696.0,ns,612
Evm,call_hello_with_executor_recreate,,1,elements,21990493.0,ns,648
Evm,call_hello_with_executor_recreate,,1,elements,22777176.0,ns,684
Evm,call_hello_with_executor_recreate,,1,elements,21916390.0,ns,720
Evm,call_hello_with_executor_recreate,,1,elements,24516748.0,ns,756
Evm,call_hello_with_executor_recreate,,1,elements,23906141.0,ns,792
Evm,call_hello_with_executor_recreate,,1,elements,28135648.0,ns,828
Evm,call_hello_with_executor_recreate,,1,elements,29159527.0,ns,864
Evm,call_hello_with_executor_recreate,,1,elements,30463930.0,ns,900
Evm,call_hello_with_executor_recreate,,1,elements,31422162.0,ns,936
Evm,call_hello_with_executor_recreate,,1,elements,31800256.0,ns,972
Evm,call_hello_with_executor_recreate,,1,elements,32782329.0,ns,1008
Evm,call_hello_with_executor_recreate,,1,elements,32830401.0,ns,1044
Evm,call_hello_with_executor_recreate,,1,elements,33574829.0,ns,1080
Evm,call_hello_with_executor_recreate,,1,elements,34376449.0,ns,1116
Evm,call_hello_with_executor_recreate,,1,elements,34349078.0,ns,1152
Evm,call_hello_with_executor_recreate,,1,elements,36193072.0,ns,1188
Evm,call_hello_with_executor_recreate,,1,elements,36489976.0,ns,1224
Evm,call_hello_with_executor_recreate,,1,elements,36959893.0,ns,1260
Evm,call_hello_with_executor_recreate,,1,elements,37755308.0,ns,1296
Evm,call_hello_with_executor_recreate,,1,elements,37710324.0,ns,1332
Evm,call_hello_with_executor_recreate,,1,elements,40649084.0,ns,1368
Evm,call_hello_with_executor_recreate,,1,elements,43507463.0,ns,1404
Evm,call_hello_with_executor_recreate,,1,elements,40829925.0,ns,1440
Evm,call_hello_with_executor_recreate,,1,elements,41119753.0,ns,1476
Evm,call_hello_with_executor_recreate,,1,elements,42823639.0,ns,1512
Evm,call_hello_with_executor_recreate,,1,elements,43068426.0,ns,1548
Evm,call_hello_with_executor_recreate,,1,elements,44333273.0,ns,1584
Evm,call_hello_with_executor_recreate,,1,elements,44812293.0,ns,1620
Evm,call_hello_with_executor_recreate,,1,elements,45885782.0,ns,1656
Evm,call_hello_with_executor_recreate,,1,elements,47722454.0,ns,1692
Evm,call_hello_with_executor_recreate,,1,elements,47796984.0,ns,1728
Evm,call_hello_with_executor_recreate,,1,elements,48766244.0,ns,1764
Evm,call_hello_with_executor_recreate,,1,elements,52213101.0,ns,1800
Evm,call_hello_with_executor_recreate,,1,elements,50923702.0,ns,1836
Evm,call_hello_with_executor_recreate,,1,elements,52200776.0,ns,1872
Evm,call_hello_with_executor_recreate,,1,elements,52024320.0,ns,1908
Evm,call_hello_with_executor_recreate,,1,elements,53935418.0,ns,1944
Evm,call_hello_with_executor_recreate,,1,elements,54770898.0,ns,1980
Evm,call_hello_with_executor_recreate,,1,elements,56078962.0,ns,2016
Evm,call_hello_with_executor_recreate,,1,elements,61392093.0,ns,2052
Evm,call_hello_with_executor_recreate,,1,elements,57760690.0,ns,2088
Evm,call_hello_with_executor_recreate,,1,elements,58394872.0,ns,2124
Evm,call_hello_with_executor_recreate,,1,elements,59022192.0,ns,2160
Evm,call_hello_with_executor_recreate,,1,elements,59807639.0,ns,2196
Evm,call_hello_with_executor_recreate,,1,elements,61377999.0,ns,2232
Evm,call_hello_with_executor_recreate,,1,elements,61493527.0,ns,2268
Evm,call_hello_with_executor_recreate,,1,elements,62476291.0,ns,2304
Evm,call_hello_with_executor_recreate,,1,elements,65175349.0,ns,2340
Evm,call_hello_with_executor_recreate,,1,elements,65299010.0,ns,2376
Evm,call_hello_with_executor_recreate,,1,elements,65439898.0,ns,2412
Evm,call_hello_with_executor_recreate,,1,elements,69209556.0,ns,2448
Evm,call_hello_with_executor_recreate,,1,elements,68530988.0,ns,2484
Evm,call_hello_with_executor_recreate,,1,elements,69245074.0,ns,2520
Evm,call_hello_with_executor_recreate,,1,elements,69735334.0,ns,2556
Evm,call_hello_with_executor_recreate,,1,elements,69923886.0,ns,2592
Evm,call_hello_with_executor_recreate,,1,elements,71414577.0,ns,2628
Evm,call_hello_with_executor_recreate,,1,elements,72443087.0,ns,2664
Evm,call_hello_with_executor_recreate,,1,elements,73721272.0,ns,2700
Evm,call_hello_with_executor_recreate,,1,elements,74691721.0,ns,2736
Evm,call_hello_with_executor_recreate,,1,elements,75475811.0,ns,2772
Evm,call_hello_with_executor_recreate,,1,elements,75760272.0,ns,2808
Evm,call_hello_with_executor_recreate,,1,elements,76465942.0,ns,2844
Evm,call_hello_with_executor_recreate,,1,elements,77987898.0,ns,2880
Evm,call_hello_with_executor_recreate,,1,elements,78327633.0,ns,2916
Evm,call_hello_with_executor_recreate,,1,elements,80937292.0,ns,2952
Evm,call_hello_with_executor_recreate,,1,elements,81875227.0,ns,2988
Evm,call_hello_with_executor_recreate,,1,elements,81454551.0,ns,3024
Evm,call_hello_with_executor_recreate,,1,elements,82572349.0,ns,3060
Evm,call_hello_with_executor_recreate,,1,elements,82658605.0,ns,3096
Evm,call_hello_with_executor_recreate,,1,elements,85312491.0,ns,3132
Evm,call_hello_with_executor_recreate,,1,elements,85678042.0,ns,3168
Evm,call_hello_with_executor_recreate,,1,elements,87285270.0,ns,3204
Evm,call_hello_with_executor_recreate,,1,elements,88172724.0,ns,3240
Evm,call_hello_with_executor_recreate,,1,elements,88395668.0,ns,3276
Evm,call_hello_with_executor_recreate,,1,elements,89487088.0,ns,3312
Evm,call_hello_with_executor_recreate,,1,elements,89987558.0,ns,3348
Evm,call_hello_with_executor_recreate,,1,elements,90836133.0,ns,3384
Evm,call_hello_with_executor_recreate,,1,elements,91623234.0,ns,3420
Evm,call_hello_with_executor_recreate,,1,elements,92467670.0,ns,3456
Evm,call_hello_with_executor_recreate,,1,elements,93350627.0,ns,3492
Evm,call_hello_with_executor_recreate,,1,elements,95187695.0,ns,3528
Evm,call_hello_with_executor_recreate,,1,elements,98082232.0,ns,3564
Evm,call_hello_with_executor_recreate,,1,elements,99085462.0,ns,3600
